symbol,rate_volatility,consecutive_positive_periods,oi_change_rate,coin_category,survival_rate
PENDLEUSDT,0.0105,11,-0.0005,niche_crypto,0.0
PENGUUSDT,0.0045,11,-0.0017,niche_crypto,0.0
PHAROSUSDT,0.0335,9,-0.152,niche_crypto,0.488
PHBUSDT,0.053,39,-0.0117,niche_crypto,0.0
PIEVERSEUSDT,0.0783,106,0.0109,sticky_coin,0.131
PLAYUSDT,0.0442,181,-0.0215,niche_crypto,0.548
PLUMEUSDT,0.0115,31,0.0027,niche_crypto,0.0
POLYXUSDT,0.0699,60,-0.0329,niche_crypto,0.0
PROMPTUSDT,0.1356,197,-0.0281,niche_crypto,0.806
PROMUSDT,0.024,93,0.0047,niche_crypto,0.036
PROVEUSDT,0.1551,106,-0.0679,niche_crypto,0.155
PUMPUSDT,0.004,12,-0.0008,niche_crypto,0.0
QNTUSDT,0.0066,9,0.0007,niche_crypto,0.0
QQQUSDT,0.0799,5,0.0543,niche_crypto,0.0
QTUMUSDT,0.0359,29,-0.0045,niche_crypto,0.0
QUSDT,0.0161,240,0.0049,sticky_coin,1.0
RAVEUSDT,0.0255,181,-0.0046,sticky_coin,0.583
RECALLUSDT,0.0008,179,-0.0002,sticky_coin,0.776
RENDERUSDT,0.007,12,0.0043,niche_crypto,0.0
RIFUSDT,0.0,200,0.0,sticky_coin,1.0
RIVERUSDT,0.0285,242,-0.0163,sticky_coin,1.0
ROBOUSDT,0.0027,80,0.0007,niche_crypto,0.0
RONINUSDT,0.1786,44,-0.0695,niche_crypto,0.0
RUNEUSDT,0.0105,11,0.0007,niche_crypto,0.0
SAGAUSDT,0.0425,117,0.0083,niche_crypto,0.194
SAHARAUSDT,0.0328,37,0.0114,niche_crypto,0.0
SAPIENUSDT,0.023,59,-0.0018,niche_crypto,0.0
SEIUSDT,0.0183,10,0.0112,niche_crypto,0.0
SIRENUSDT,0.1249,24,-0.0036,niche_crypto,0.0
SKYAIUSDT,0.05,258,-0.0314,sticky_coin,1.0
SNDKUSDT,0.1166,9,0.0696,niche_crypto,0.0
SOLUSDT,0.0091,11,0.0035,major_crypto,0.0
SOLVUSDT,0.0481,70,-0.0073,niche_crypto,0.0
SOXLUSDT,0.0485,5,0.0593,niche_crypto,0.35
SPACEUSDT,0.0144,218,-0.0075,sticky_coin,1.0
STABLEUSDT,0.1035,8,0.0097,niche_crypto,0.0
STORJUSDT,0.1102,54,-0.0454,niche_crypto,0.0
STRKUSDT,0.0043,21,0.0007,niche_crypto,0.0
SUIUSDT,0.0061,11,0.0013,niche_crypto,0.0
SWARMSUSDT,0.022,141,0.0034,sticky_coin,0.342
SYSUSDT,0.0095,200,0.0026,sticky_coin,1.0
TACUSDT,0.0268,191,-0.0148,sticky_coin,0.927
TAOUSDT,0.0098,23,0.0045,niche_crypto,0.0
TAUSDT,0.0304,158,0.0095,sticky_coin,0.618
TIAUSDT,0.0037,14,-0.0008,niche_crypto,0.0
TONUSDT,0.0061,14,-0.0015,niche_crypto,0.0
TOWNSUSDT,0.013,43,-0.0038,niche_crypto,0.0
TRUMPUSDT,0.0378,23,0.0202,niche_crypto,0.0
TRUTHUSDT,0.0275,246,-0.0017,sticky_coin,1.0
TRXUSDT,0.0114,16,0.0028,niche_crypto,0.0
TSLAUSDT,0.1095,25,0.0186,stock_perp,0.0
TSTUSDT,0.027,30,-0.0019,niche_crypto,0.0
TURBOUSDT,0.0099,47,0.0066,niche_crypto,0.0
UBUSDT,0.0279,110,-0.0107,sticky_coin,0.125
UNIUSDT,0.007,19,0.0013,niche_crypto,0.0
USELESSUSDT,0.0104,260,0.0041,sticky_coin,1.0
USUSDT,0.0253,200,0.0094,sticky_coin,1.0
VELVETUSDT,0.0209,218,-0.0061,sticky_coin,1.0
VICUSDT,0.0287,69,-0.0068,niche_crypto,0.0
VIRTUALUSDT,0.0048,39,0.001,niche_crypto,0.0
VVVUSDT,0.0171,62,-0.0008,niche_crypto,0.0
WALUSDT,0.034,23,0.0054,niche_crypto,0.0
WIFUSDT,0.0478,11,-0.011,niche_crypto,0.0
WLDUSDT,0.0317,15,-0.0191,niche_crypto,0.0
WLFIUSDT,0.0072,29,0.0023,niche_crypto,0.0
XAGUSDT,0.049,48,0.0115,niche_crypto,0.0
XAUTUSDT,0.0026,42,0.0006,niche_crypto,0.0
XAUUSDT,0.0255,20,0.0088,niche_crypto,0.0
XLMUSDT,0.0104,20,-0.0004,niche_crypto,0.0
XMRUSDT,0.0135,222,0.0056,sticky_coin,0.971
XPLUSDT,0.0054,38,-0.0018,niche_crypto,0.0
XRPUSDT,0.0069,12,0.0028,major_crypto,0.0
ZBTUSDT,0.0032,34,-0.0001,niche_crypto,0.0
ZECUSDT,0.0118,16,0.0021,niche_crypto,0.0
ZENUSDT,0.0059,26,0.0015,niche_crypto,0.0
ZEREBROUSDT,0.0225,86,-0.0025,niche_crypto,0.0
币安人生USDT,0.0171,54,0.0078,niche_crypto,0.0
